#,StackOverflow Id,Classification,URL
1,21220426,Memory transfer bug,https://stackoverflow.com/questions/21220426
2,12519029,Barrier divergence,https://stackoverflow.com/questions/12519029
3,55891760,Thread divergence,https://stackoverflow.com/questions/55891760
4,8789608,Tooling,https://stackoverflow.com/questions/8789608
5,16320860,How to do algorithm,https://stackoverflow.com/questions/16320860
6,3778799,Tooling,https://stackoverflow.com/questions/3778799
7,56400355,Profiling,https://stackoverflow.com/questions/56400355
8,48131430,Optimise thread conf.,https://stackoverflow.com/questions/48131430
9,15192787,Tooling,https://stackoverflow.com/questions/15192787
10,5664987,Threads – general,https://stackoverflow.com/questions/5664987
11,11978024,Manage memory spaces,https://stackoverflow.com/questions/11978024
12,28918753,How to do algorithm,https://stackoverflow.com/questions/28918753
13,30666132,Memory performance,https://stackoverflow.com/questions/30666132
14,11658074,Multi GPU,https://stackoverflow.com/questions/11658074
15,9033947,Limitation,https://stackoverflow.com/questions/9033947
16,15225859,Setup,https://stackoverflow.com/questions/15225859
17,18432492,Setup,https://stackoverflow.com/questions/18432492
18,10476315,Threads – general,https://stackoverflow.com/questions/10476315
19,22040151,Sparse Matrices,https://stackoverflow.com/questions/22040151
20,23227700,Setup,https://stackoverflow.com/questions/23227700
21,41793593,Optimizing Kernel Launches,https://stackoverflow.com/questions/41793593
22,8080956,Performance,https://stackoverflow.com/questions/8080956
23,41760505,Manage memory spaces,https://stackoverflow.com/questions/41760505
24,60074078,Removed,https://stackoverflow.com/questions/60074078
25,2816992,Data types,https://stackoverflow.com/questions/2816992
26,22778217,Manage memory spaces,https://stackoverflow.com/questions/22778217
27,9258755,Performance,https://stackoverflow.com/questions/9258755
28,15496213,Manage memory spaces,https://stackoverflow.com/questions/15496213
29,16596781,Performance,https://stackoverflow.com/questions/16596781
30,26997830,Thread divergence,https://stackoverflow.com/questions/26997830
31,33656689,Tooling,https://stackoverflow.com/questions/33656689
32,19527391,Dynamic parallelism bug,https://stackoverflow.com/questions/19527391
33,22513177,Basics,https://stackoverflow.com/questions/22513177
34,58833808,Synchronization,https://stackoverflow.com/questions/58833808
35,5322581,Tooling,https://stackoverflow.com/questions/5322581
36,8158581,Tooling,https://stackoverflow.com/questions/8158581
37,20652160,Incorrect thread conf.,https://stackoverflow.com/questions/20652160
38,7909015,Manage memory spaces,https://stackoverflow.com/questions/7909015
39,59815874,Non GPGPU,https://stackoverflow.com/questions/59815874
40,54230447,Setup,https://stackoverflow.com/questions/54230447
41,39418415,Tooling,https://stackoverflow.com/questions/39418415
42,13036441,Data types,https://stackoverflow.com/questions/13036441
43,47534882,Host transfer,https://stackoverflow.com/questions/47534882
44,5801717,Kernel Launches,https://stackoverflow.com/questions/5801717
45,20550895,Non GPGPU,https://stackoverflow.com/questions/20550895
46,54355791,Optimizing Kernel Launches,https://stackoverflow.com/questions/54355791
47,23417573,Tooling,https://stackoverflow.com/questions/23417573
48,11059308,Tooling,https://stackoverflow.com/questions/11059308
49,10057109,How to do algorithm,https://stackoverflow.com/questions/10057109
50,11587160,How to do algorithm,https://stackoverflow.com/questions/11587160
51,4470246,Manage memory spaces,https://stackoverflow.com/questions/4470246
52,15495698,Other,https://stackoverflow.com/questions/15495698
53,31800827,Host transfer,https://stackoverflow.com/questions/31800827
54,14942330,Incorrect thread conf.,https://stackoverflow.com/questions/14942330
55,13520709,Incorrect thread conf.,https://stackoverflow.com/questions/13520709
56,24147806,Non GPGPU,https://stackoverflow.com/questions/24147806
57,14715343,Memory performance,https://stackoverflow.com/questions/14715343
58,28887001,Setup,https://stackoverflow.com/questions/28887001
59,30691363,Sparse Matrices,https://stackoverflow.com/questions/30691363
60,45776161,Memory transfer bug,https://stackoverflow.com/questions/45776161
61,59234998,Removed,https://stackoverflow.com/questions/59234998
62,54003653,Memory performance,https://stackoverflow.com/questions/54003653
63,44017748,Memory transfer bug,https://stackoverflow.com/questions/44017748
64,33556182,Tooling,https://stackoverflow.com/questions/33556182
65,20508884,How to do algorithm,https://stackoverflow.com/questions/20508884
66,13333168,Tooling,https://stackoverflow.com/questions/13333168
67,32351786,Optimise thread conf.,https://stackoverflow.com/questions/32351786
68,30912143,Threads – general,https://stackoverflow.com/questions/30912143
69,29152661,Setup,https://stackoverflow.com/questions/29152661
70,43654714,Tooling,https://stackoverflow.com/questions/43654714
71,5794627,Tooling,https://stackoverflow.com/questions/5794627
72,48657179,Data races,https://stackoverflow.com/questions/48657179
73,36120488,Data types,https://stackoverflow.com/questions/36120488
74,40262448,Host transfer,https://stackoverflow.com/questions/40262448
75,54661513,How to do algorithm,https://stackoverflow.com/questions/54661513
76,56142674,Memory performance,https://stackoverflow.com/questions/56142674
77,42776591,Data races,https://stackoverflow.com/questions/42776591
78,14420045,Manage memory spaces,https://stackoverflow.com/questions/14420045
79,25155345,Tooling,https://stackoverflow.com/questions/25155345
80,30408286,Tooling,https://stackoverflow.com/questions/30408286
81,41824776,Non GPGPU,https://stackoverflow.com/questions/41824776
82,20915966,How to do algorithm,https://stackoverflow.com/questions/20915966
83,52663812,Non GPGPU,https://stackoverflow.com/questions/52663812
84,41330132,Sparse Matrices,https://stackoverflow.com/questions/41330132
85,48015972,Tooling,https://stackoverflow.com/questions/48015972
86,47852841,Non GPGPU,https://stackoverflow.com/questions/47852841
87,22943018,Non GPGPU,https://stackoverflow.com/questions/22943018
88,29499128,Tooling,https://stackoverflow.com/questions/29499128
89,23793748,Tooling,https://stackoverflow.com/questions/23793748
90,46874044,Tooling,https://stackoverflow.com/questions/46874044
91,31590788,Incorrect thread conf.,https://stackoverflow.com/questions/31590788
92,54337313,Tooling,https://stackoverflow.com/questions/54337313
93,44119610,OpenGL,https://stackoverflow.com/questions/44119610
94,59828047,How to do algorithm,https://stackoverflow.com/questions/59828047
95,12975757,Other,https://stackoverflow.com/questions/12975757
96,57248918,Host transfer,https://stackoverflow.com/questions/57248918
97,30614827,Host transfer,https://stackoverflow.com/questions/30614827
98,47710707,Performance,https://stackoverflow.com/questions/47710707
99,24293538,General Bug,https://stackoverflow.com/questions/24293538
100,58727168,Setup,https://stackoverflow.com/questions/58727168
101,12489652,Tooling,https://stackoverflow.com/questions/12489652
102,53147100,How to do algorithm,https://stackoverflow.com/questions/53147100
103,34091737,How to do algorithm,https://stackoverflow.com/questions/34091737
104,6684918,Memory performance,https://stackoverflow.com/questions/6684918
105,13592194,Performance,https://stackoverflow.com/questions/13592194
106,14024217,Host transfer,https://stackoverflow.com/questions/14024217
107,51445003,Tooling,https://stackoverflow.com/questions/51445003
108,31777037,Higher level patterns,https://stackoverflow.com/questions/31777037
109,25297609,OpenGL,https://stackoverflow.com/questions/25297609
110,10412859,Optimise thread conf.,https://stackoverflow.com/questions/10412859
111,5620738,Tooling,https://stackoverflow.com/questions/5620738
112,20492773,Basics,https://stackoverflow.com/questions/20492773
113,17108852,Setup,https://stackoverflow.com/questions/17108852
114,34990522,OpenGL,https://stackoverflow.com/questions/34990522
115,14087866,Data types,https://stackoverflow.com/questions/14087866
116,49332215,Memory transfer bug,https://stackoverflow.com/questions/49332215
117,54300531,Setup,https://stackoverflow.com/questions/54300531
118,12150892,Hardware capebiliies,https://stackoverflow.com/questions/12150892
119,60067211,Removed,https://stackoverflow.com/questions/60067211
120,19850836,Host transfer,https://stackoverflow.com/questions/19850836
121,40593997,Setup,https://stackoverflow.com/questions/40593997
122,15318069,Setup,https://stackoverflow.com/questions/15318069
123,13509041,OpenGL,https://stackoverflow.com/questions/13509041
124,12742142,OpenGL,https://stackoverflow.com/questions/12742142
